scenario,orr1,rho1,n_ia,enrl_rate,orr0,mos0,mos1,rho2,lambda0,SOC/Non-Responder,SOC/Responder,TRT/Non-Responder,TRT/Responder,Relationship between ORR and OS
1,0.25,0.1,20,3,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
2,0.25,0.1,20,12,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
3,0.25,0.1,30,3,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
4,0.25,0.1,30,12,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
5,0.25,0.1,50,3,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
6,0.25,0.1,50,12,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
7,0.25,0.5,20,3,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
8,0.25,0.5,20,12,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
9,0.25,0.5,30,3,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
10,0.25,0.5,30,12,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
11,0.25,0.5,50,3,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
12,0.25,0.5,50,12,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
13,0.25,1,20,3,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
14,0.25,1,20,12,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
