scenario,orr1,rho1,n_ia,enrl_rate,orr0,mos0,mos1,rho2,lambda0,SOC/Non-Responder,SOC/Responder,TRT/Non-Responder,TRT/Responder,Relationship between ORR and OS
1,0.25,0.1,10,3,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
2,0.25,0.1,10,12,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
3,0.25,0.1,40,3,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
4,0.25,0.1,40,12,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
5,0.25,0.5,10,3,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
6,0.25,0.5,10,12,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
7,0.25,0.5,40,3,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
8,0.25,0.5,40,12,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
9,0.25,1,10,3,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
10,0.25,1,10,12,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
11,0.25,1,40,3,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
12,0.25,1,40,12,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
13,0.35,0.1,10,3,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
14,0.35,0.1,10,12,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
15,0.35,0.1,40,3,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
16,0.35,0.1,40,12,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
17,0.35,0.5,10,3,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
18,0.35,0.5,10,12,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
